frame,timestamp,num_persons_visible,backpack_id,backpack_state,event,backpack_confidence,backpack_from_memory,backpack_x1,backpack_y1,backpack_x2,backpack_y2,backpack_roi_overlap_pct,roi_value,wrist_inside_roi,backpack_inside_roi,owner_person_id
35,1.167,0,2,PLACED,,0.4110,False,257,642,392,811,100.0,0.0,False,True,
36,1.200,0,1,PLACED,,0.6342,False,402,622,560,819,100.0,0.0,False,True,
36,1.200,0,2,PLACED,,0.4185,False,257,642,392,811,100.0,0.0,False,True,
37,1.233,0,1,PLACED,,0.6089,False,402,622,559,819,100.0,0.0,False,True,
37,1.233,0,2,PLACED,,0.4049,False,256,642,391,811,100.0,0.0,False,True,
38,1.267,0,1,PLACED,,0.6130,False,402,622,559,819,100.0,0.0,False,True,
38,1.267,0,2,PLACED,,0.4185,False,257,642,392,810,100.0,0.0,False,True,
39,1.300,0,1,PLACED,,0.6040,False,402,622,559,818,100.0,0.0,False,True,
39,1.300,0,2,PLACED,,0.4017,False,257,642,392,810,100.0,0.0,False,True,
40,1.333,0,1,PLACED,,0.5866,False,402,622,559,818,100.0,0.0,False,True,
40,1.333,0,2,PLACED,,0.3943,False,257,642,392,810,100.0,0.0,False,True,
41,1.367,1,1,PLACED,,0.5772,False,402,622,559,817,100.0,0.0,False,True,
41,1.367,1,2,PLACED,,0.3880,False,256,641,391,810,100.0,0.0,False,True,
42,1.400,1,1,PLACED,,0.5924,False,402,621,559,817,100.0,0.0,False,True,
42,1.400,1,2,PLACED,,0.3926,False,256,641,391,810,100.0,0.0,False,True,
43,1.433,1,1,PLACED,,0.6024,False,402,621,559,817,100.0,0.0,False,True,
43,1.433,1,2,PLACED,,0.3940,False,256,641,391,809,100.0,0.0,False,True,
44,1.467,1,1,PLACED,,0.5862,False,402,621,558,817,100.0,0.0,False,True,
44,1.467,1,2,PLACED,,0.4043,False,256,641,391,809,100.0,0.0,False,True,
45,1.500,1,1,PLACED,,0.5716,False,401,620,558,817,100.0,0.0,False,True,
45,1.500,1,2,PLACED,,0.4186,False,256,640,391,809,100.0,0.0,False,True,
46,1.533,2,1,PLACED,,0.5858,False,402,620,559,817,100.0,0.0,False,True,
46,1.533,2,2,PLACED,,0.4257,False,256,640,391,809,100.0,0.0,False,True,
47,1.567,2,1,PLACED,,0.5626,False,402,620,559,817,100.0,0.0,False,True,
47,1.567,2,2,PLACED,,0.4474,False,256,640,391,809,100.0,0.0,False,True,
48,1.600,2,1,PLACED,,0.5973,False,402,620,559,816,100.0,0.0,False,True,
48,1.600,2,2,PLACED,,0.4786,False,255,640,390,809,100.0,0.0,False,True,
49,1.633,2,1,PLACED,,0.5946,False,402,620,558,816,100.0,0.0,False,True,
49,1.633,2,2,PLACED,,0.4545,False,254,640,389,808,100.0,0.0,False,True,
50,1.667,2,1,PLACED,,0.6000,False,402,619,558,816,100.0,0.0,False,True,
50,1.667,2,2,PLACED,,0.4479,False,253,639,389,808,100.0,0.0,False,True,
51,1.700,2,1,PLACED,,0.5983,False,402,619,558,816,100.0,0.0,True,True,
51,1.700,2,2,PLACED,,0.4520,False,254,639,389,808,100.0,0.0,False,True,
52,1.733,2,1,PLACED,,0.5831,False,402,619,558,816,100.0,0.0,True,True,
52,1.733,2,2,PLACED,,0.4661,False,255,639,391,808,100.0,0.0,False,True,
53,1.767,2,1,PLACED,,0.6133,False,402,619,558,816,100.0,0.0,True,True,
53,1.767,2,2,PLACED,,0.4771,False,253,639,389,807,100.0,0.0,False,True,
54,1.800,2,1,PLACED,,0.6022,False,402,618,558,815,100.0,0.0,True,True,
54,1.800,2,2,PLACED,,0.4823,False,254,639,389,807,100.0,0.0,False,True,
55,1.833,2,1,PLACED,,0.6093,False,402,618,558,815,100.0,0.0,True,True,
